Entity,Code,Year,gdp_share,capita,population
Afghanistan,AFG,2016,0.89233619,2057.067871,34636212
Albania,ALB,2016,1.229624,12291.85938,2881064
Algeria,DZA,2016,6.5467024,11826.15137,40339328
Angola,AGO,2016,2.9486744,7568.998047,29154742
Argentina,ARG,2016,0.954768,23189.52734,43668236
Armenia,ARM,2016,4.0898852,11303.06738,2865841
Australia,AUS,2016,2.0013125,48116.03125,24195706
Azerbaijan,AZE,2016,3.6427701,14232.19238,9976254
Bangladesh,BGD,2016,1.4417896,3920.144531,159784576
Belarus,BLR,2016,1.2725638,17883.12695,9708111
Belgium,BEL,2016,0.87141937,49829.92578,11316837
Belize,BLZ,2016,1.1690158,7206.952637,367327
Benin,BEN,2016,1.1432455,2961.44043,11260091
Bolivia,BOL,2016,1.6751555,8202.543945,11263016
Bosnia and Herzegovina,BIH,2016,0.99343908,13194.33105,3480985
Botswana,BWA,2016,3.3710008,15654.68164,2352419
Brazil,BRA,2016,1.3179413,14451.15332,206859584
Brunei,BRN,2016,3.5393846,60867.29297,426001
Bulgaria,BGR,2016,1.4433044,20740.79492,7245982
Burkina Faso,BFA,2016,1.2333869,1981.42981,19275504
Burundi,BDI,2016,2.2078493,794.604248,10903329
Cambodia,KHM,2016,1.8475696,3728.099609,15624586
Cameroon,CMR,2016,1.6005238,3634.381104,23711626
Canada,CAN,2016,0.99131018,47457.58594,36113532
Cape Verde,CPV,2016,0.62905407,6482.72168,558399
Chad,TCD,2016,2.786067,1687.053589,14592587
Chile,CHL,2016,1.8657224,24531.35742,18083880
China,CHN,2016,1.9229624,13399.1377,1401889664
Colombia,COL,2016,3.3869185,14194.51563,47625960
Congo,COG,2016,7.1702466,4544.075684,5186830
Cote d'Ivoire,CIV,2016,1.1768368,4615.709473,24213620
Croatia,HRV,2016,1.3776548,25944.25781,4223748
Cyprus,CYP,2016,1.7814808,36509.07031,1197889
Czechia,CZE,2016,1.0134143,37014.96094,10527584
Democratic Republic of Congo,COD,2016,1.3396587,1055.572876,81430976
Denmark,DNK,2016,1.1479144,54185.00781,5706856
Dominican Republic,DOM,2016,0.63910162,16166.61133,10527589
Ecuador,ECU,2016,2.2133992,11551.61621,16439588
Egypt,EGY,2016,1.6672821,10795.80859,99784032
El Salvador,SLV,2016,0.8679924,8309.900391,6250513
